favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
60963,Twitter for iPhone,"“While Steele shopped the document to multiple media outlets, he also asked for help with a RUSSIAN Oligarch.”  Cat… https://t.co/2SNfIhgsGr",,False,Thu Aug 16 23:45:01 +0000 2018,17058,1030239036093411328
70276,Twitter for iPhone,".@AlanDersh, a brilliant lawyer, who although a Liberal Democrat who probably didn’t vote for me, has discussed the… https://t.co/TOjjyGMIlf",,False,Thu Jul 26 22:48:38 +0000 2018,15701,1022614701665148934
179276,Twitter for iPhone,"Happy Birthday, America! https://t.co/SIi6xXsfof",,False,Thu Jul 05 02:47:35 +0000 2018,31653,1014702302408642562
114772,Twitter for iPhone,"Democrats can fix their forced family breakup at the Border by working with Republicans on new legislation, for a c… https://t.co/MNuogb4s3x",,False,Sat Jun 16 13:03:57 +0000 2018,28551,1007972046666690561
80248,Twitter for iPhone,"“FBI texts have revealed anti-Trump Bias.” @FoxNews  Big News, but the Fake News doesn’t want to cover. Total corru… https://t.co/tpRbo2iB09",,False,Wed Jun 20 14:00:18 +0000 2018,20892,1009435777992884227
80771,Twitter for iPhone,"Pastor Andrew Brunson, a fine gentleman and Christian leader in the United States, is on trial and being persecuted… https://t.co/NCEchahdPc",,False,Wed Apr 18 02:32:04 +0000 2018,19149,986432143189512192
71494,Twitter for iPhone,"...realize the economy is the best it’s ever been with employment being at an all time high, and many companies pou… https://t.co/YehOgd992y",realDonaldTrump,False,Wed Jun 13 09:40:03 +0000 2018,12719,1006833568641777664
73719,Twitter for iPhone,"I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!",,False,Tue Feb 20 13:38:49 +0000 2018,14872,965943827931549696
81415,Twitter for iPhone,What is taking so long with the Inspector General’s Report on Crooked Hillary and Slippery James Comey. Numerous de… https://t.co/PIbQG7XG4S,,False,Tue Jun 05 10:38:51 +0000 2018,22533,1003949263481696256
99820,Twitter for iPhone,"Best economic numbers in decades. If the Democrats take control, kiss your newfound wealth goodbye!",,False,Sun Sep 16 22:18:10 +0000 2018,24801,1041451203442487297
90266,Twitter for iPhone,"So sorry, people wanting to get into the already packed arena - I LOVE YOU ALL! https://t.co/PFvXrsvgkA",,False,Wed Jun 20 23:30:38 +0000 2018,20293,1009579307847553024
56517,Twitter for iPhone,"Congressman Kevin Brady of Texas is so popular in his District, and far beyond, that he doesn’t need any help - but… https://t.co/SieRmnyj9r",,False,Tue Oct 30 12:25:07 +0000 2018,13975,1057247021919297536
64853,Twitter for iPhone,The ABC/Washington Post Poll was by far the least accurate one 2 weeks out from the 2016 Election. I call it a supp… https://t.co/kSbpC8z7BS,,False,Sat Sep 01 02:35:28 +0000 2018,14101,1035717747936768000
78000,Twitter for iPhone,Thank you Pennsylvania. I love you! https://t.co/qoswnBZb3f,,False,Fri Aug 03 00:30:28 +0000 2018,17352,1025177042470535168
67787,Twitter for iPhone,Trish_Regan:  “Did the FBI follow protocol to obtain the FISA warrant? I don’t think so. The Dossier was opposition… https://t.co/5ENitXe9BG,,False,Fri Dec 07 03:07:18 +0000 2018,18461,1070877381861277696
75604,Twitter for iPhone,"Just landed in West Virginia. Big crowd, looking forward to seeing everyone soon! #MAGA",,False,Tue Aug 21 21:32:31 +0000 2018,13175,1032017630662729728
66854,Twitter for iPhone,"Such a beautiful map, thank you! https://t.co/FyQdgKvsRO",,False,Wed Feb 28 04:20:43 +0000 2018,15465,968702480753315840
80354,Twitter for iPhone,"Despite requests, I have no plans to meet Iranian President Hassan Rouhani. Maybe someday in the future. I am sure… https://t.co/SpuT7bsm9W",,False,Tue Sep 25 10:53:41 +0000 2018,15283,1044540438806482944
84151,Twitter for iPhone,Turkey has taken advantage of the United States for many years. They are now holding our wonderful Christian Pastor… https://t.co/fsXxbwME3Z,,False,Thu Aug 16 23:30:26 +0000 2018,21951,1030235363258851328
75100,Twitter for iPhone,"Even if we get 100% Republican votes in the Senate, we need 10 Democrat votes to get a much needed Immigration Bill… https://t.co/eMvXkDpulv",,False,Fri Jun 22 10:54:51 +0000 2018,19291,1010113882344558592
113112,Twitter for iPhone,"The Philadelphia Eagles Football Team was invited to the White House. Unfortunately, only a small number of players… https://t.co/umtKEd0dru",,False,Tue Jun 05 02:55:56 +0000 2018,24141,1003832766511894528
